language,artist
punjabi,Karan Aujla
punjabi,Arjan Dhillon
punjabi,Chinna
punjabi,Cheema Y
punjabi,Sukha
punjabi,Jordan Sandhu
punjabi,Sultaan
punjabi,BK
punjabi,Sabi Bhinder
punjabi,Bhalwaan
punjabi,AP Dhillon
punjabi,Mankirt Aulakh
punjabi,Navaan Sandhu
punjabi,Prem Dhillon
punjabi,Deep Kahlon
punjabi,Intense
punjabi,HRJXT
punjabi,Sharry Mann
punjabi,SMG
punjabi,Baggh-e
punjabi,Singga
punjabi,Gur Sidhu
punjabi,Talwiinder Singh
punjabi,Guri
punjabi,Tegi Pannu
punjabi,Jassa Dhillon
punjabi,Dr. Zeus
punjabi,Channi Nattan
punjabi,Diljit Dosanjh
punjabi,GG
punjabi,Tarna
punjabi,Big Byrd
punjabi,Yo Yo Honey Singh
punjabi,Jaikko
punjabi,Jerry
punjabi,Straight Bank
punjabi,Sabi Bhinder
punjabi,Nseeb
punjabi,Parmish Verma
punjabi,Fateh DOE
punjabi,Shubh
punjabi,Sidhu Moosewala
punjabi,Avvy Sra
punjabi,Amrit Maan
punjabi,Mankirat Aulakh
punjabi,Kaka
punjabi,Vansh
punjabi,Bir
punjabi,Wazir Patar
punjabi,Arsh Heer
punjabi,A Kay
punjabi,Karan Sharn
punjabi,Jaskaran
punjabi,Nijjar
punjabi,Watan Sahi
haryanvi,Masoom Sharma
haryanvi,Vikram Sarkar
haryanvi,Ajay Bhagta
haryanvi,Rajkummar Rao
haryanvi,Amanraj Gill
haryanvi,Swara Verma
haryanvi,Krish Rao
haryanvi,Dhanda Nyoliwala
haryanvi,Vikas Dhani Aala
haryanvi,Jassi Gosal
haryanvi,Jagan Randhawa
haryanvi,Hammy music
hindi,Faheem Abdulla
